instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_seconds_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,result_walksat,runtime_seconds_walksat,ratio_dpll,ratio_walksat,var_diff,clause_diff,var_ratio,clause_ratio,vars_times_clauses_dpll,clause_density_dpll,vars_times_clauses_walksat,clause_density_walksat,is_sudoku,is_random3sat,best_solver_actual
random3sat_bulk6.cnf,DPLL,60.0,200.0,0.0015,SAT,WalkSAT_Optimized,60.0,200.0,SAT,0.0175,3.3333332777777787,3.3333332777777787,0.0,0.0,0.9999999833333336,0.999999995,12000.0,3.3333332777777787,12000.0,3.3333332777777787,0,1,0
random3sat_bulk60.cnf,DPLL,100.0,300.0,0.0012,SAT,WalkSAT_Optimized,100.0,300.0,SAT,0.0083,2.99999997,2.99999997,0.0,0.0,0.9999999900000002,0.9999999966666667,30000.0,2.99999997,30000.0,2.99999997,0,1,0
random3sat_bulk62.cnf,DPLL,100.0,300.0,0.0012,SAT,WalkSAT_Optimized,100.0,300.0,SAT,0.0039,2.99999997,2.99999997,0.0,0.0,0.9999999900000002,0.9999999966666667,30000.0,2.99999997,30000.0,2.99999997,0,1,0
random3sat_bulk61.cnf,DPLL,70.0,400.0,0.0012,UNSAT,WalkSAT_Optimized,70.0,400.0,UNSAT,0.2379,5.714285632653063,5.714285632653063,0.0,0.0,0.9999999857142859,0.9999999975,28000.0,5.714285632653063,28000.0,5.714285632653063,0,1,0
random3sat_bulk66.cnf,DPLL,100.0,200.0,0.001,SAT,WalkSAT_Optimized,100.0,200.0,SAT,0.0012,1.9999999800000003,1.9999999800000003,0.0,0.0,0.9999999900000002,0.999999995,20000.0,1.9999999800000003,20000.0,1.9999999800000003,0,1,0
random3sat_bulk63.cnf,DPLL,90.0,350.0,0.002,SAT,WalkSAT_Optimized,90.0,350.0,UNSAT,0.1739,3.8888888456790127,3.8888888456790127,0.0,0.0,0.9999999888888891,0.9999999971428571,31500.0,3.8888888456790127,31500.0,3.8888888456790127,0,1,0
random3sat_bulk64.cnf,DPLL,70.0,200.0,0.001,SAT,WalkSAT_Optimized,70.0,200.0,SAT,0.0018,2.8571428163265313,2.8571428163265313,0.0,0.0,0.9999999857142859,0.999999995,14000.0,2.8571428163265313,14000.0,2.8571428163265313,0,1,0
random3sat_bulk65.cnf,DPLL,60.0,350.0,0.0,UNSAT,WalkSAT_Optimized,60.0,350.0,UNSAT,0.2467,5.8333332361111125,5.8333332361111125,0.0,0.0,0.9999999833333336,0.9999999971428571,21000.0,5.8333332361111125,21000.0,5.8333332361111125,0,1,0
random3sat_bulk67.cnf,DPLL,50.0,250.0,0.001,UNSAT,WalkSAT_Optimized,50.0,250.0,UNSAT,0.2181,4.999999900000002,4.999999900000002,0.0,0.0,0.9999999800000005,0.999999996,12500.0,4.999999900000002,12500.0,4.999999900000002,0,1,0
random3sat_bulk68.cnf,DPLL,70.0,300.0,0.0,SAT,WalkSAT_Optimized,70.0,300.0,SAT,0.0745,4.285714224489797,4.285714224489797,0.0,0.0,0.9999999857142859,0.9999999966666667,21000.0,4.285714224489797,21000.0,4.285714224489797,0,1,0
random3sat_bulk7.cnf,DPLL,60.0,200.0,0.001,SAT,WalkSAT_Optimized,60.0,200.0,SAT,0.0044,3.3333332777777787,3.3333332777777787,0.0,0.0,0.9999999833333336,0.999999995,12000.0,3.3333332777777787,12000.0,3.3333332777777787,0,1,0
random3sat_bulk69.cnf,DPLL,90.0,350.0,0.001,SAT,WalkSAT_Optimized,90.0,350.0,UNSAT,0.1808,3.8888888456790127,3.8888888456790127,0.0,0.0,0.9999999888888891,0.9999999971428571,31500.0,3.8888888456790127,31500.0,3.8888888456790127,0,1,0
random3sat_bulk73.cnf,DPLL,90.0,200.0,0.0,SAT,WalkSAT_Optimized,90.0,200.0,SAT,0.0021,2.2222221975308645,2.2222221975308645,0.0,0.0,0.9999999888888891,0.999999995,18000.0,2.2222221975308645,18000.0,2.2222221975308645,0,1,0
random3sat_bulk70.cnf,DPLL,90.0,200.0,0.001,SAT,WalkSAT_Optimized,90.0,200.0,SAT,0.0017,2.2222221975308645,2.2222221975308645,0.0,0.0,0.9999999888888891,0.999999995,18000.0,2.2222221975308645,18000.0,2.2222221975308645,0,1,0
random3sat_bulk71.cnf,DPLL,70.0,350.0,0.001,UNSAT,WalkSAT_Optimized,70.0,350.0,UNSAT,0.213,4.999999928571429,4.999999928571429,0.0,0.0,0.9999999857142859,0.9999999971428571,24500.0,4.999999928571429,24500.0,4.999999928571429,0,1,0
random3sat_bulk72.cnf,DPLL,70.0,300.0,0.002,SAT,WalkSAT_Optimized,70.0,300.0,SAT,0.0901,4.285714224489797,4.285714224489797,0.0,0.0,0.9999999857142859,0.9999999966666667,21000.0,4.285714224489797,21000.0,4.285714224489797,0,1,0
random3sat_bulk75.cnf,DPLL,50.0,350.0,0.001,UNSAT,WalkSAT_Optimized,50.0,350.0,UNSAT,0.3119,6.9999998600000035,6.9999998600000035,0.0,0.0,0.9999999800000005,0.9999999971428571,17500.0,6.9999998600000035,17500.0,6.9999998600000035,0,1,0
random3sat_bulk74.cnf,DPLL,90.0,250.0,0.0,SAT,WalkSAT_Optimized,90.0,250.0,SAT,0.0044,2.7777777469135807,2.7777777469135807,0.0,0.0,0.9999999888888891,0.999999996,22500.0,2.7777777469135807,22500.0,2.7777777469135807,0,1,0
random3sat_bulk76.cnf,DPLL,80.0,300.0,0.001,SAT,WalkSAT_Optimized,80.0,300.0,SAT,0.1163,3.7499999531250006,3.7499999531250006,0.0,0.0,0.9999999875000002,0.9999999966666667,24000.0,3.7499999531250006,24000.0,3.7499999531250006,0,1,0
random3sat_bulk79.cnf,DPLL,90.0,200.0,0.001,SAT,WalkSAT_Optimized,90.0,200.0,SAT,0.0029,2.2222221975308645,2.2222221975308645,0.0,0.0,0.9999999888888891,0.999999995,18000.0,2.2222221975308645,18000.0,2.2222221975308645,0,1,0
random3sat_bulk78.cnf,DPLL,60.0,300.0,0.001,UNSAT,WalkSAT_Optimized,60.0,300.0,UNSAT,0.2206,4.999999916666669,4.999999916666669,0.0,0.0,0.9999999833333336,0.9999999966666667,18000.0,4.999999916666669,18000.0,4.999999916666669,0,1,0
random3sat_bulk77.cnf,DPLL,80.0,350.0,0.002,UNSAT,WalkSAT_Optimized,80.0,350.0,UNSAT,0.1877,4.374999945312501,4.374999945312501,0.0,0.0,0.9999999875000002,0.9999999971428571,28000.0,4.374999945312501,28000.0,4.374999945312501,0,1,0
