instance,solver,num_vars,num_clauses,result,runtime_seconds
random3sat_realistic_269.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1858
random3sat_realistic_268.cnf,WalkSAT_Optimized,80,400,UNSAT,0.2338
random3sat_realistic_27.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2544
random3sat_realistic_270.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2603
random3sat_realistic_272.cnf,WalkSAT_Optimized,100,400,UNSAT,0.1986
random3sat_realistic_271.cnf,WalkSAT_Optimized,70,420,UNSAT,0.2672
random3sat_realistic_274.cnf,WalkSAT_Optimized,60,180,UNSAT,0.138
random3sat_realistic_273.cnf,WalkSAT_Optimized,60,360,UNSAT,0.2472
random3sat_realistic_275.cnf,WalkSAT_Optimized,120,720,UNSAT,0.301
random3sat_realistic_279.cnf,WalkSAT_Optimized,60,180,SAT,0.003
random3sat_realistic_276.cnf,WalkSAT_Optimized,100,600,UNSAT,0.2743
random3sat_realistic_278.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2125
random3sat_realistic_277.cnf,WalkSAT_Optimized,120,720,UNSAT,0.2921
random3sat_realistic_28.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2449
random3sat_realistic_280.cnf,WalkSAT_Optimized,80,400,UNSAT,0.2301
random3sat_realistic_281.cnf,WalkSAT_Optimized,100,400,UNSAT,0.198
random3sat_realistic_282.cnf,WalkSAT_Optimized,50,250,UNSAT,0.243
random3sat_realistic_283.cnf,WalkSAT_Optimized,120,480,UNSAT,0.1686
random3sat_realistic_286.cnf,WalkSAT_Optimized,70,210,UNSAT,0.1099
random3sat_realistic_287.cnf,WalkSAT_Optimized,80,240,SAT,0.0658
random3sat_realistic_284.cnf,WalkSAT_Optimized,150,750,UNSAT,0.2545
random3sat_realistic_285.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2474
random3sat_realistic_289.cnf,WalkSAT_Optimized,80,320,UNSAT,0.1799
random3sat_realistic_29.cnf,WalkSAT_Optimized,50,250,UNSAT,0.228
random3sat_realistic_290.cnf,WalkSAT_Optimized,50,250,UNSAT,0.2133
random3sat_realistic_288.cnf,WalkSAT_Optimized,60,360,UNSAT,0.277
random3sat_realistic_292.cnf,WalkSAT_Optimized,60,300,UNSAT,0.2186
random3sat_realistic_294.cnf,WalkSAT_Optimized,80,400,UNSAT,0.2168
random3sat_realistic_293.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2441
random3sat_realistic_291.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2988
random3sat_realistic_296.cnf,WalkSAT_Optimized,70,210,SAT,0.0406
random3sat_realistic_297.cnf,WalkSAT_Optimized,60,180,SAT,0.0368
random3sat_realistic_295.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1711
random3sat_realistic_298.cnf,WalkSAT_Optimized,90,360,UNSAT,0.1773
random3sat_realistic_3.cnf,WalkSAT_Optimized,60,240,UNSAT,0.1693
random3sat_realistic_299.cnf,WalkSAT_Optimized,80,480,UNSAT,0.2742
random3sat_realistic_300.cnf,WalkSAT_Optimized,100,300,UNSAT,0.1375
random3sat_realistic_301.cnf,WalkSAT_Optimized,90,270,UNSAT,0.1354
random3sat_realistic_30.cnf,WalkSAT_Optimized,120,720,UNSAT,0.2909
random3sat_realistic_304.cnf,WalkSAT_Optimized,150,450,UNSAT,0.1511
